,name,lat,lon
2636,Walmart Supercenter,37.482281,-105.904108
2637,Gem Supermarket,39.7593401,-104.9731605
2638,Denver Halal Market,39.6962251,-104.8687342
2639,"Valente’s Deli, Bakery Italian Market",39.8277513,-105.0353585
2640,King Soopers,39.593532,-105.072052
2641,Clark’s Market,38.8667261,-106.9820223
2642,Mountain Earth Organic Grocer,38.8694993,-106.9843256
2643,Scout’s General,38.8699247,-106.982042
2644,Villa Park Mini-Mart,39.733181,-105.0317344
2645,Natural Grocers,39.5987281,-105.1093242
2646,Solomon’s,39.6812058,-104.8674255
2647,Target Grocery,39.5502249,-105.0054145
2648,Aurora Market,39.6886298,-104.8678428
2649,Big Y,41.8106727,-72.851836
2650,Whole Foods Market,41.7146838,-72.6080411
2651,Stop & Shop,41.7220629,-72.6246313
2652,Stop & Shop,41.7065275,-72.5950059
2653,Super Stop & Shop,41.3362605,-72.9820333
2654,Super Stop & Shop,41.1759553,-73.2287783
2655,Ferraro's Foods,41.3081302,-72.9127937
2656,C-Town,41.3084389,-72.8946645
2657,La Supermarqueta,41.3087135,-72.897992
2658,Trader Joe's,41.7235701,-72.7577315
2659,Food Fare,41.2109647,-73.0556436
2660,Commissary,41.3914869,-72.0854444
2661,Ted's IGA,41.6620425,-72.3550661
2662,Fitzgerald's Foods,41.8714093,-72.8022479
2663,Save A Lot,41.7589342,-72.6980299
2664,Caraluzzi's Market,41.4130902,-73.3021262
2665,Trader Joe's,41.3929645,-73.5220446
2666,Stop & Shop,41.2740045,-72.505331
2667,Stop and Shop,41.8193302,-72.8631728
2668,LaBonne's Supermarket,41.5430054,-73.2097022
2669,Price Chopper,41.668967,-72.7211102
2670,Stop & Shop,41.9359345,-72.7888224
2671,Big Y,41.8100035,-72.5135903
2672,Stop & Shop,41.8282697,-72.4947172
2673,ShopRite,41.2702523,-72.5016624
2674,Price Chopper,41.8706938,-72.6614733
2675,Geissler's Supermarket,41.8495468,-72.6460775
2676,Geissler's Supermarket,41.930214,-72.616497
2677,Stop & Shop,41.8934931,-72.6528286
2678,Target,41.8906898,-72.6522385
2679,Big Y,41.99074,-72.5694901
2680,Stop and Shop,41.9882699,-72.5744961
2681,Shop Rite,41.9878746,-72.5782743
2682,Trader Joe's,41.1830926,-73.2533157
2683,Hall's Market,41.7556311,-72.728816
2684,BIg Y,41.5002352,-73.0531117
2685,Stop & Shop,41.630443,-72.756256
2686,"Big Y Foods, Inc.",41.4125635,-73.3794223
2687,Crown Supermarket,41.7855129,-72.7450112
2688,Elm City Market,41.3052712,-72.9234482
2689,Big Y,41.8255418,-73.1104496
2690,LaBonne's Market,41.9820429,-73.4219301
2691,Stop & Shop,41.9088911,-73.0497174
2692,Walter Stewart's Market,41.1461287,-73.4979902
2693,Food Emporium,41.1447431,-73.5000984
