,store_name,address
284,D H Mini Mart,"519-599 Sacramento Drive, Austin TX 78704"
285,Kings Food Mart,"2907 South 1st Street, Austin TX 78704"
286,Bucky Mart,"6315 East Stassney Lane, Austin TX 78744"
287,Food Mart,"2400, Austin TX 78741"
288,Bluebonnet Food Mart,"1909-1999 Anita Drive, Austin TX 78704"
289,David Store,"976-998 West Mary Street, Austin Texas 78704"
290,7 Eleven,"1763-1799 East Oltorf Street, Austin Texas 78741"
291,Courtesy Shell #4,"1828-1834 East Oltorf Street, Austin TX 78741"
292,7 Eleven,"2103 South Congress Avenue, Austin TX 78704"
293,Everytime Stop,"2105 South Congress Avenue, Austin TX 78704"
294,7 Eleven,"1403 South Lamar Boulevard, Austin TX 78704"
295,HEB #29,"701 Capitol Of Texas Hwy, Bld C, West Lake Hills TX 78764"
296,Barton Hills Market,"1300 Barton Hills Drive, Austin Texas 78704"
297,1st Food Mart,"1415 South 1st Street, Austin TX 78704"
298,apple Mart,"2101 Wickersham Lane, Austin TX 78741"
299,HEB #45,"1005 South Congress Avenue, Austin TX 78704"
